"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Graph/Textures/Player/Shader_Spirit.Shader_Spirit","0","0","56","1","0.000000","0","0"
"/Game/Dev/Caleb/Detection/QTE_FX/MT_QTE.MT_QTE","0","0","174","2","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","60","1","0.000000","0","0"
"/Game/Graph/Textures/Robot/Robot.Robot","0","0","24","1","0.000000","0","0"
"/Game/Dev/Caleb/Detection/MT_PlayerColor.MT_PlayerColor","0","0","24","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Graph/Textures/Player/Masque.Masque","0","0","33","1","0.000000","0","0"
"/Game/Graph/Textures/Tas/Tas.Tas","0","0","12","1","0.000000","0","0"
"/Game/Graph/Textures/Hutte/MASTERMATERIAL.MASTERMATERIAL","0","0","21","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","0","0","21","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Dev/Caleb/MT_Color.MT_Color","0","0","21","1","0.000000","0","0"
"/Game/Graph/Decal/Decal_Init.Decal_Init","0","0","31","1","0.000000","0","0"
"/Game/Graph/Textures/Wolrd/Terrain.Terrain","0","0","21","1","0.000000","0","46"
"/Game/Graph/Textures/Fufu/Fufu_Master.Fufu_Master","0","0","12","1","0.000000","0","0"
"/Game/Graph/Textures/Nature/Nature_master.Nature_master","0","0","12","1","0.000000","0","0"
"/Game/Graph/Textures/Couteau/Couteau.Couteau","0","0","12","1","0.000000","0","0"
"/Game/Graph/Textures/Four/Four_Pierre.Four_Pierre","0","0","12","1","0.000000","0","0"
"/Game/Graph/Textures/Four/Four.Four","0","0","12","1","0.000000","0","0"
"/Game/Graph/Textures/feu/Feu.Feu","0","0","12","1","0.000000","0","0"
"/Game/UnrealContent/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","156","2","0.000000","0","0"
